"0";"2";"23-OCT-2017 09:38:45";"CC11LIST V0734";"C:\Users\Administrator\Desktop\Ì©ÖÝÍò´ïÏ£¶û¶Ù¾Æµê170217\DCR002C.DAT";"ISOLATIN-1";"";"";"";"";"";"";"";"";"";""
"96";"2";"1843";"1504";"1609";"64904";"????";"¾Æµê7²ãÌ½²âÆ÷";"706ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:002:005:001";"0";"255"
"97";"2";"1610";"1601";"471";"0";"ZONE";"¾Æµê7²ãÌ½²âÆ÷";"707ÑÌ¸Ð";"A";"0953";"-";"LOG";"05:002:006:000";"0";"255"
"98";"2";"1844";"1504";"1610";"65307";"????";"¾Æµê7²ãÌ½²âÆ÷";"707ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:002:006:001";"0";"255"
"99";"2";"1611";"1601";"471";"0";"ZONE";"¾Æµê7²ãÌ½²âÆ÷";"708ÑÌ¸Ð";"A";"0954";"-";"LOG";"05:002:007:000";"0";"255"
"100";"2";"1845";"1504";"1611";"65306";"????";"¾Æµê7²ãÌ½²âÆ÷";"708ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:002:007:001";"0";"255"
"101";"2";"4255";"1601";"471";"0";"ZONE";"¾Æµê7²ãÌ½²âÆ÷";"709¿ÍÌüÑÌ¸Ð";"A";"1736";"-";"LOG";"05:002:008:000";"0";"255"
"102";"2";"1861";"1504";"4255";"65302";"????";"¾Æµê7²ãÌ½²âÆ÷";"709¿ÍÌüÑÌ¸Ð";"X";"0000";"-";"LOG";"05:002:008:001";"0";"255"
"103";"2";"1612";"1601";"471";"0";"ZONE";"¾Æµê7²ãÌ½²âÆ÷";"709ÎÔÊÒÑÌ¸Ð";"A";"0955";"-";"LOG";"05:002:009:000";"0";"255"
"104";"2";"1862";"1504";"1612";"65301";"????";"¾Æµê7²ãÌ½²âÆ÷";"709ÎÔÊÒÑÌ¸Ð";"X";"0000";"-";"LOG";"05:002:009:001";"0";"255"
"105";"2";"1613";"1601";"471";"0";"ZONE";"¾Æµê7²ãÌ½²âÆ÷";"711ÑÌ¸Ð";"A";"0956";"-";"LOG";"05:002:010:000";"0";"255"
"106";"2";"1846";"1504";"1613";"65299";"????";"¾Æµê7²ãÌ½²âÆ÷";"711ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:002:010:001";"0";"255"
"107";"2";"1614";"1601";"471";"0";"ZONE";"¾Æµê7²ãÌ½²âÆ÷";"712ÑÌ¸Ð";"A";"0957";"-";"LOG";"05:002:011:000";"0";"255"
"108";"2";"1847";"1504";"1614";"64889";"????";"¾Æµê7²ãÌ½²âÆ÷";"712ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:002:011:001";"0";"255"
"109";"2";"1615";"1601";"471";"0";"ZONE";"¾Æµê7²ãÌ½²âÆ÷";"715ÑÌ¸Ð";"A";"0958";"-";"LOG";"05:002:012:000";"0";"255"
"110";"2";"1848";"1504";"1615";"65372";"????";"¾Æµê7²ãÌ½²âÆ÷";"715ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:002:012:001";"0";"255"
"111";"2";"1616";"1601";"471";"0";"ZONE";"¾Æµê7²ãÌ½²âÆ÷";"716ÑÌ¸Ð";"A";"0959";"-";"LOG";"05:002:013:000";"0";"255"
"112";"2";"1849";"1504";"1616";"65371";"????";"¾Æµê7²ãÌ½²âÆ÷";"716ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:002:013:001";"0";"255"
"113";"2";"1617";"1601";"471";"0";"ZONE";"¾Æµê7²ãÌ½²âÆ÷";"717ÑÌ¸Ð";"A";"095A";"-";"LOG";"05:002:014:000";"0";"255"
"114";"2";"1850";"1504";"1617";"65370";"????";"¾Æµê7²ãÌ½²âÆ÷";"717ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:002:014:001";"0";"255"
"115";"2";"1618";"1601";"471";"0";"ZONE";"¾Æµê7²ãÌ½²âÆ÷";"718ÑÌ¸Ð";"A";"095B";"-";"LOG";"05:002:015:000";"0";"255"
"116";"2";"1851";"1504";"1618";"65369";"????";"¾Æµê7²ãÌ½²âÆ÷";"718ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:002:015:001";"0";"255"
"117";"2";"1619";"1601";"471";"0";"ZONE";"¾Æµê7²ãÌ½²âÆ÷";"719ÑÌ¸Ð";"A";"095C";"-";"LOG";"05:002:016:000";"0";"255"
"118";"2";"1852";"1504";"1619";"65368";"????";"¾Æµê7²ãÌ½²âÆ÷";"719ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:002:016:001";"0";"255"
"119";"2";"1620";"1601";"471";"0";"ZONE";"¾Æµê7²ãÌ½²âÆ÷";"720ÑÌ¸Ð";"A";"095D";"-";"LOG";"05:002:017:000";"0";"255"
"120";"2";"1853";"1504";"1620";"65348";"????";"¾Æµê7²ãÌ½²âÆ÷";"720ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:002:017:001";"0";"255"
"121";"2";"1621";"1601";"471";"0";"ZONE";"¾Æµê7²ãÌ½²âÆ÷";"721ÑÌ¸Ð";"A";"095E";"-";"LOG";"05:002:018:000";"0";"255"
"122";"2";"1854";"1504";"1621";"65347";"????";"¾Æµê7²ãÌ½²âÆ÷";"721ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:002:018:001";"0";"255"
"123";"2";"1622";"1601";"471";"0";"ZONE";"¾Æµê7²ãÌ½²âÆ÷";"722ÑÌ¸Ð";"A";"095F";"-";"LOG";"05:002:019:000";"0";"255"
"124";"2";"1855";"1504";"1622";"65340";"????";"¾Æµê7²ãÌ½²âÆ÷";"722ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:002:019:001";"0";"255"
"125";"2";"1623";"1601";"471";"0";"ZONE";"¾Æµê7²ãÌ½²âÆ÷";"723ÑÌ¸Ð";"A";"0960";"-";"LOG";"05:002:020:000";"0";"255"
"126";"2";"1856";"1504";"1623";"65341";"????";"¾Æµê7²ãÌ½²âÆ÷";"723ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:002:020:001";"0";"255"
"127";"2";"1624";"1601";"471";"0";"ZONE";"¾Æµê7²ãÌ½²âÆ÷";"725ÑÌ¸Ð";"A";"0961";"-";"LOG";"05:002:021:000";"0";"255"
"128";"2";"1857";"1504";"1624";"65338";"????";"¾Æµê7²ãÌ½²âÆ÷";"725ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:002:021:001";"0";"255"
"129";"2";"1625";"1601";"471";"0";"ZONE";"¾Æµê7²ãÌ½²âÆ÷";"726ÑÌ¸Ð";"A";"0962";"-";"LOG";"05:002:022:000";"0";"255"
"130";"2";"1858";"1504";"1625";"65337";"????";"¾Æµê7²ãÌ½²âÆ÷";"726ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:002:022:001";"0";"255"
"131";"2";"3434";"1601";"471";"0";"ZONE";"¾Æµê7²ãÌ½²âÆ÷";"Èõµç¾®ÑÌ¸Ð";"A";"12BC";"-";"LOG";"05:002:023:000";"0";"255"
"132";"2";"3435";"1504";"3434";"65373";"????";"¾Æµê7²ãÌ½²âÆ÷";"Èõµç¾®ÑÌ¸Ð";"X";"0000";"-";"LOG";"05:002:023:001";"0";"255"
"133";"2";"4272";"1601";"471";"0";"ZONE";"¾Æµê7²ãÌ½²âÆ÷";"717ÃÅ¿Ú×ßµÀÑÌ¸Ð";"A";"1747";"-";"LOG";"05:002:024:000";"0";"255"
"134";"2";"3441";"1504";"4272";"65366";"????";"¾Æµê7²ãÌ½²âÆ÷";"717ÃÅ¿Ú×ßµÀÑÌ¸Ð";"X";"0000";"-";"LOG";"05:002:024:001";"0";"255"
"135";"2";"4273";"1601";"471";"0";"ZONE";"¾Æµê7²ãÌ½²âÆ÷";"719ÃÅ¿Ú×ßµÀÑÌ¸Ð";"A";"1748";"-";"LOG";"05:002:025:000";"0";"255"
"136";"2";"3442";"1504";"4273";"65365";"????";"¾Æµê7²ãÌ½²âÆ÷";"719ÃÅ¿Ú×ßµÀÑÌ¸Ð";"X";"0000";"-";"LOG";"05:002:025:001";"0";"255"
