"0";"2";"23-OCT-2017 09:38:32";"CC11LIST V0734";"C:\Users\Administrator\Desktop\泰州万达希尔顿酒店170217\DCR001C.DAT";"ISOLATIN-1";"";"";"";"";"";"";"";"";"";""
"110";"2";"1999";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"弱电井门口走道烟感";"A";"0B5A";"-";"LOG";"01:001:052:000";"0";"255"
"111";"2";"2149";"1504";"1999";"59595";"????";"酒店地下二层探测器";"弱电井门口走道烟感";"X";"0000";"-";"LOG";"01:001:052:001";"0";"255"
"112";"2";"2000";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"空调机房烟感";"A";"0B5B";"-";"LOG";"01:001:053:000";"0";"255"
"113";"2";"2148";"1504";"2000";"62354";"????";"酒店地下二层探测器";"空调机房烟感";"X";"0000";"-";"LOG";"01:001:053:001";"0";"255"
"114";"2";"2001";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"西北楼梯间烟感";"A";"0B5C";"-";"LOG";"01:001:054:000";"0";"255"
"115";"2";"2147";"1504";"2001";"62338";"????";"酒店地下二层探测器";"西北楼梯间烟感";"X";"0000";"-";"LOG";"01:001:054:001";"0";"255"
"116";"2";"4976";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"西北楼梯间前室烟感";"A";"1B0B";"-";"LOG";"01:001:055:000";"0";"255"
"117";"2";"4977";"1504";"4976";"61921";"????";"酒店地下二层探测器";"西北楼梯间前室烟感";"X";"0000";"-";"LOG";"01:001:055:001";"0";"255"
"118";"2";"2002";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"西北货梯前室烟感";"A";"0B5D";"-";"LOG";"01:001:056:000";"0";"255"
"119";"2";"2146";"1504";"2002";"62339";"????";"酒店地下二层探测器";"西北货梯前室烟感";"X";"0000";"-";"LOG";"01:001:056:001";"0";"255"
"120";"2";"2003";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"西北货梯厅南走道烟感";"A";"0B5E";"-";"LOG";"01:001:057:000";"0";"255"
"121";"2";"2145";"1504";"2003";"62336";"????";"酒店地下二层探测器";"西北货梯厅南走道烟感";"X";"0000";"-";"LOG";"01:001:057:001";"0";"255"
"122";"2";"2004";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"空调机房门口东走道烟感";"A";"0B5F";"-";"LOG";"01:001:058:000";"0";"255"
"123";"2";"2144";"1504";"2004";"62320";"????";"酒店地下二层探测器";"空调机房门口东走道烟感";"X";"0000";"-";"LOG";"01:001:058:001";"0";"255"
"124";"2";"2005";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"男更衣室南走道烟感1";"A";"0B60";"-";"LOG";"01:001:059:000";"0";"255"
"125";"2";"2143";"1504";"2005";"62318";"????";"酒店地下二层探测器";"男更衣室南走道烟感1";"X";"0000";"-";"LOG";"01:001:059:001";"0";"255"
"126";"2";"2006";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"男更衣室南走道烟感2";"A";"0B61";"-";"LOG";"01:001:060:000";"0";"255"
"127";"2";"2142";"1504";"2006";"62312";"????";"酒店地下二层探测器";"男更衣室南走道烟感2";"X";"0000";"-";"LOG";"01:001:060:001";"0";"255"
"128";"2";"2007";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"花房烟感";"A";"0B62";"-";"LOG";"01:001:061:000";"0";"255"
"129";"2";"2141";"1504";"2007";"62062";"????";"酒店地下二层探测器";"花房烟感";"X";"0000";"-";"LOG";"01:001:061:001";"0";"255"
"130";"2";"2010";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"男淋浴区温感3";"A";"0B65";"-";"LOG";"01:001:062:000";"0";"255"
"131";"2";"2138";"1504";"2010";"0";"????";"酒店地下二层探测器";"男淋浴区温感3";"X";"0000";"-";"LOG";"01:001:062:001";"0";"255"
"132";"2";"2011";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"男更衣室温感2";"A";"0B66";"-";"LOG";"01:001:063:000";"0";"255"
"133";"2";"2137";"1504";"2011";"0";"????";"酒店地下二层探测器";"男更衣室温感2";"X";"0000";"-";"LOG";"01:001:063:001";"0";"255"
"134";"2";"4771";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"男更衣室温感1";"A";"19BC";"-";"LOG";"01:001:064:000";"0";"255"
"135";"2";"4772";"1504";"4771";"0";"????";"酒店地下二层探测器";"男更衣室温感1";"X";"0000";"-";"LOG";"01:001:064:001";"0";"255"
"136";"2";"4851";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"男更衣室前室烟感";"A";"1A4D";"-";"LOG";"01:001:065:000";"0";"255"
"137";"2";"4852";"1504";"4851";"62065";"????";"酒店地下二层探测器";"男更衣室前室烟感";"X";"0000";"-";"LOG";"01:001:065:001";"0";"255"
"138";"2";"2015";"1601";"483";"0";"ZONE";"酒店地下二层探测器";"男更衣室西烟感1";"A";"0B6A";"-";"LOG";"01:001:066:000";"0";"255"
